,18_If other features&#044; please specify:
A destinations map at a trailhead.,1
Better Maintained Trail,1
Connect south levee from Kansas Ave. to Oakland along river road. Then possibly Landon trail and Shunga trail and Leeve system.,1
Crushed gravel (not rocky) surface and long continuous sections,1
Good Parking,1
Just have signage that says it's ok to be on the levey.,1
Making it well known that we can legally use the levee's existing unpaved roads and access points.,1
Safe river crossing and trail connection on highway 75,1
Signage that includes maps/mileage,1
Smaller crushed gravel,1
not having to cross train tracks,0
parking,1
paved path for easier riding for handicapped riders.,1
